271, 667137236.0, 40525702
272, 33.0, 3
273, 727.0, 45
274, 3959299.0, 239191
275, 199.0, 13
276, 7775.0, 469
277, 567444389.0, 34094430
278, 2501.0, 151
279, 1520.0, 92
280, 251.0, 16
281, 606183385.0, 36161870
282, 2351.0, 141
283, 138274082.0, 8219542
284, 24220799.0, 1437241
285, 2431.0, 145
286, 561835.0, 33223
287, 288.0, 18
288, 17.0, 2
290, 579.0, 35
291, 290.0, 18
292, 2281249.0, 133501
293, 12320649.0, 719781
294, 4801.0, 281
295, 2024999.0, 117901
296, 3699.0, 216
297, 48599.0, 2821
298, 268665646.0, 15563384
299, 415.0, 25
300, 1351.0, 79
301, 517335023.0, 29818696
302, 4276623.0, 246093
303, 2524.0, 146
304, 57799.0, 3316
305, 489.0, 29
306, 35.0, 3
307, 88529282.0, 5052634
308, 351.0, 21
309, 440045063.0, 25033290
310, 848719.0, 48205
311, 16883880.0, 957398
312, 53.0, 4
313, 380587104.0, 21512056
314, 392499.0, 22151
315, 71.0, 5
316, 12799.0, 721
317, 577590652.0, 32440724
318, 107.0, 7
319, 12901780.0, 722362
320, 161.0, 10
321, 215.0, 13
322, 323.0, 19
323, 18.0, 2
325, 649.0, 37
326, 325.0, 19
327, 217.0, 13
328, 163.0, 10
329, 2376415.0, 131017
330, 109.0, 7
331, 770394803.0, 42344729
332, 13447.0, 739
333, 73.0, 5
334, 587510696.0, 32147156
335, 604.0, 34
336, 55.0, 4
337, 363218969.0, 19785799
338, 114243.0, 6215
339, 97970.0, 5322
340, 285769.0, 15499
341, 10626551.0, 575461
342, 37.0, 3
343, 130576328.0, 7050460
344, 10405.0, 562
345, 6761.0, 365
346, 17299.0, 931
347, 641602.0, 34444
348, 1567.0, 85
349, 169648201.0, 9081061
350, 449.0, 25
351, 62425.0, 3333
352, 77617.0, 4138
353, 366866809.0, 19526351
354, 258065.0, 13717
355, 954809.0, 50677
356, 500001.0, 26501
357, 3401.0, 181
358, 500898437.0, 26473306
359, 360.0, 20
360, 19.0, 2
362, 723.0, 39
363, 362.0, 20
364, 4954951.0, 259711
365, 23915529.0, 1251797
366, 907925.0, 47459
367, 605024944.0, 31582046
368, 1151.0, 61
369, 8396801.0, 437121
370, 213859.0, 11119
371, 1695.0, 89
372, 12151.0, 631
373, 52387849.0, 2712541
374, 3365.0, 175
375, 15124.0, 782
376, 2143295.0, 110533
377, 233.0, 13
378, 8749.0, 451
379, 568796915.0, 29217136
380, 39.0, 3
381, 1015.0, 53
382, 174663166.0, 8936546
383, 18768.0, 960
384, 4801.0, 246
385, 95831.0, 4885
386, 111555.0, 5679
387, 3482.0, 178
388, 62809633.0, 3188677
389, 3287049.0, 166661
390, 79.0, 5
391, 7338680.0, 371134
392, 99.0, 6
393, 46437143.0, 2342445
394, 395023035.0, 19900974
395, 159.0, 9
396, 199.0, 11
397, 474379627.0, 23808432
398, 399.0, 21
399, 20.0, 2
401, 801.0, 41
402, 401.0, 21
403, 669878.0, 33370
404, 201.0, 11
405, 161.0, 9
406, 59468095.0, 2951353
407, 2663.0, 133
408, 101.0, 6
409, 546136724.0, 27004724
410, 81.0, 5
411, 49730.0, 2454
412, 434122470.0, 21387680
413, 113399.0, 5581
414, 24335.0, 1197
415, 18412804.0, 903850
416, 5201.0, 256
417, 85322647.0, 4178269
418, 33857.0, 1657
419, 270174970.0, 13198912
420, 41.0, 3
421, 378867518.0, 18464874
422, 7022501.0, 341851
423, 4607.0, 225
424, 32080051.0, 1557946
425, 143649.0, 6969
426, 88751.0, 4301
427, 62.0, 4
428, 1850887.0, 89467
429, 1524095.0, 73585
430, 2862251.0, 138031
431, 151560720.0, 7300424
432, 1351.0, 66
433, 312800069.0, 15032213
434, 125.0, 7
435, 146.0, 8
436, 562934499.0, 26959674
437, 4599.0, 221
438, 293.0, 15
439, 440.0, 22
440, 21.0, 2
442, 883.0, 43
443, 442.0, 22
444, 295.0, 15
445, 43468489.0, 2060605
446, 110166015.0, 5216513
447, 148.0, 8
448, 127.0, 7
449, 189471332.0, 8941706
450, 19601.0, 925
451, 46471490.0, 2188258
452, 1204353.0, 56649
453, 1653751.0, 77701
454, 650308390.0, 30520486
455, 64.0, 4
456, 1025.0, 49
457, 583531623.0, 27296459
458, 22899.0, 1071
459, 499850.0, 23332
460, 2535751.0, 118231
461, 959700061.0, 44697689
462, 43.0, 3
463, 334453558.0, 15543376
464, 9801.0, 456
465, 15871.0, 737
466, 387494822.0, 17950352
467, 1625626.0, 75226
468, 649.0, 31
469, 137215.0, 6337
470, 1691.0, 79
471, 7838695.0, 361189
472, 306917.0, 14128
473, 87.0, 5
474, 193549.0, 8891
475, 57799.0, 2653
476, 28799.0, 1321
477, 368477069.0, 16871407
478, 801567695.0, 36662854
479, 2989440.0, 136592
480, 241.0, 12
481, 549668033.0, 25062706
482, 483.0, 23
483, 22.0, 2
485, 969.0, 45
486, 485.0, 23
487, 317492291.0, 14386950
488, 243.0, 12
489, 707974023.0, 32015693
490, 1039681.0, 46969
491, 725489305.0, 32740875
492, 29767.0, 1343
493, 151856327.0, 6839266
494, 73035.0, 3287
495, 89.0, 5
496, 4620799.0, 207481
497, 1201887.0, 53913
498, 179777.0, 8057
499, 4490.0, 202
500, 930249.0, 41603
501, 673773097.0, 30101963
502, 622774517.0, 27795788
503, 24648.0, 1100
504, 449.0, 21
505, 809.0, 37
506, 45.0, 3
507, 1351.0, 61
508, 320775491.0, 14232112
509, 395727950.0, 17540334
510, 271.0, 13
511, 659810024.0, 29188278
512, 665857.0, 29428
513, 13771351.0, 608021
514, 4625.0, 205
515, 17406.0, 768
516, 16855.0, 743
517, 1110550906.0, 48841974
518, 2367.0, 105
519, 14851876.0, 651926
520, 6499.0, 286
521, 385131720.0, 16872928
522, 19603.0, 859
523, 699903701.0, 30604653
